Time (s),Channel 1 (V),Channel 2 (V)
-1.442408163265305847e-04,3.328632052859693768e+00,3.281510341125478458e+00
-1.442108163265306002e-04,3.309876542549754941e+00,3.292669791116706435e+00
-1.441808163265306158e-04,3.302374338425785538e+00,3.307549057771664192e+00
-1.441508163265305771e-04,3.306125440487780232e+00,3.292669791116706435e+00
-1.441208163265305926e-04,3.321129848735717704e+00,3.292669791116706435e+00
-1.440908163265306081e-04,3.324880950797706181e+00,3.303829241107934855e+00
-1.440608163265306237e-04,3.321129848735721257e+00,3.296389607780456199e+00
-1.440308163265305850e-04,3.317378746673730117e+00,3.296389607780449538e+00
-1.440008163265306005e-04,3.298623236363791289e+00,3.296389607780449538e+00
-1.439708163265306161e-04,3.276116623991884413e+00,3.266631074470534468e+00
-1.439408163265306316e-04,3.287369930177817423e+00,3.277790524461725585e+00
-1.439108163265305929e-04,3.298623236363791289e+00,3.277790524461735799e+00
-1.438808163265306085e-04,3.287369930177827637e+00,3.255471624479279402e+00
-1.438508163265306240e-04,3.298623236363781075e+00,3.259191441143018508e+00
-1.438208163265305853e-04,3.287369930177827637e+00,3.270350891134250038e+00
-1.437908163265306009e-04,3.298623236363791289e+00,3.262911257806764720e+00
-1.437608163265306164e-04,3.291121032239821886e+00,3.259191441143025614e+00
-1.437308163265306319e-04,3.279867726053861787e+00,3.266631074470500717e+00
-1.437008163265305932e-04,3.291121032239815225e+00,3.262911257806764720e+00
-1.436708163265306088e-04,3.283618828115839161e+00,3.259191441143022061e+00
-1.436408163265306243e-04,3.276116623991870647e+00,3.259191441143022061e+00
-1.436108163265305856e-04,3.287369930177827637e+00,3.251751807815536743e+00
-1.435808163265306012e-04,3.276116623991863985e+00,3.244312174488050982e+00
-1.435508163265306167e-04,3.287369930177817423e+00,3.255471624479269188e+00
-1.435208163265306322e-04,3.279867726053858235e+00,3.244312174488061196e+00
-1.434908163265305936e-04,3.287369930177827637e+00,3.259191441143022061e+00
-1.434608163265306091e-04,3.268614419867887921e+00,3.251751807815536743e+00
-1.434308163265306246e-04,3.287369930177810762e+00,3.255471624479275849e+00
-1.434008163265305860e-04,3.287369930177827637e+00,3.255471624479279402e+00
-1.433708163265306015e-04,3.272365521929876397e+00,3.259191441143022061e+00
-1.433408163265306170e-04,3.264863317805906995e+00,3.248031991151803854e+00
-1.433108163265306326e-04,3.272365521929869736e+00,3.255471624479272741e+00
-1.432808163265305939e-04,3.268614419867887921e+00,3.251751807815536743e+00
-1.432508163265306094e-04,3.276116623991863985e+00,3.255471624479279402e+00
-1.432208163265306249e-04,3.268614419867894583e+00,3.255471624479279402e+00
-1.431908163265305863e-04,3.276116623991863985e+00,3.251751807815536743e+00
